Number;Time;Date;Latitude;Longitude;Altitude;Acc_x;Acc_y;Acc_z;Gyr_x;Gyr_y;Gyr_z;Mag_x;Mag_y;Mag_z
812;08:59:43.173559;20.02.2023;49.20664211275647;18.766950888370808;369.74435285679454;0.02191261198000128;0.07414112756376821;-9.81;0.0;0.0;9.325873406851315e-14;-1.441921549622054;17.497988879619186;37.9037972215224
813;08:59:43.273559;20.02.2023;49.20663593791943;18.766947592791926;369.74435285679454;0.06397771742281019;0.2164680373573186;-9.81;0.0;0.0;-4.3520742565306136e-13;-1.4419213623939315;17.49799168984049;37.90379386829685
814;08:59:43.373559;20.02.2023;49.20662970477809;18.76694426609626;369.74435285679454;0.019469740231900096;0.06587569275101302;-9.81;0.0;0.0;1.8207657603852567e-13;-1.4419211733980337;17.49799452659662;37.90379048340855
815;08:59:43.473559;20.02.2023;49.20662351259735;18.766940961262602;369.74435285679454;-0.013678161777986546;-0.046279938610017196;-9.81;0.0;0.0;2.2648549702353193e-13;-1.4419209856441966;17.497997344711397;37.90378712076303
816;08:59:43.573559;20.02.2023;49.20661733157136;18.76693766238322;369.74435285679454;-0.0037249734645113377;-0.012603414556695726;-9.81;0.0;0.0;-2.3092638912203256e-13;-1.4419207982286648;17.49800015774966;37.90378376417435
817;08:59:43.673559;20.02.2023;49.20661127024595;18.766934427390197;369.74435285679454;-0.039972095835146174;-0.13524523041842376;-9.81;0.0;0.0;-3.019806626980426e-13;-1.4419206144426688;17.498002916311307;37.90378047258798
818;08:59:43.773559;20.02.2023;49.20660517615803;18.766931174912298;369.74435285679454;0.010940482869521786;0.03701702639460623;-9.81;0.0;0.0;6.306066779870889e-13;-1.4419204296633534;17.498005689783508;37.903777163209334
819;08:59:43.873559;20.02.2023;49.20659921609469;18.766927993965535;369.74435285679454;-0.04475535354695213;-0.15142934030477814;-9.81;0.0;0.0;-3.197442310920451e-13;-1.4419202489478893;17.49800840226009;37.903773926611684
820;08:59:43.973559;20.02.2023;49.20659343066829;18.76692490622508;369.74435285679454;-0.05831717805761318;-0.19731565280645516;-9.81;0.0;0.0;-7.105427357601002e-14;-1.4419200735276803;17.498011035257974;37.90377078484957
821;08:59:44.073559;20.02.2023;49.20658765535523;18.76692182388297;369.74435285679454;-0.0033772130228428517;-0.011426770198146072;-9.81;0.0;0.0;1.4210854715202004e-13;-1.441919898414186;17.498013663653342;37.90376764857886
